#,DESCRIPTION,EIF,VALUE,INCOME TYPE,INCOME,
148.53,Insulet Corporation - Common Stock,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.53,B&G Foods Inc-Cl A,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.53,Macy's Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.53,Discover Financial Services,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.53,CME Group Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.53,Validus Holdings LTD,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.53,lululemon athletica inc. - Common Stock,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
6,,,"than $1,001)",,,
148.53,Wabco Holdings Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.53,Concho Resources Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.53,HCP Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
9,,,"than $1,001)",,,
148.54,"athenahealth, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$201 - $1,000",
0,,,"than $1,001)",,,
148.54,Teradata Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.54,Invesco Ltd,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.54,Triple-S Management Corp-B,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.54,Echostar Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.54,DISH Network Corporation - Class A,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,Common Stock,,"than $1,001)",,,
148.54,Calpine Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.54,Dollar Tree Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.54,Visa Inc,N/A,None (or less,Capital Gains,"$100,001 -",
8,,,"than $1,001)",,"$1,000,000 ",
148.54,Philip Morris International,N/A,None (or less,Capital Gains,"$100,001 -",
9,,,"than $1,001)",,"$1,000,000 ",
148.55,Hill-Rom Holdings Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.55,Dr Pepper Snapple Group,N/A,None (or less,Capital Gains,"$50,001 -",
1,,,"than $1,001)",,"$100,000 ",
148.55,American Water Works Co Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.55,"Activision Blizzard, Inc - Common Stock",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.55,Frontier Communications Corp,N/A,None (or less,Capital Gains,None (or less,
4,,,"than $1,001)",,than $201),
148.55,"Discovery Communications, Inc. - Series C",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
5,Common Stock,,"than $1,001)",,,
148.55,Mednax Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.55,EQT Corporation,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
7,,,"than $1,001)",,,
148.55,Mead Johnson Nutrition Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.55,Time Warner Inc,N/A,None (or less,Capital Gains,"$50,001 -",
9,,,"than $1,001)",,"$100,000 ",
148.56,"LogMein, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.56,American International Group,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.56,Accenture plc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.56,Merck & Co Inc,N/A,None (or less,Capital Gains,"$100,001 -",
3,,,"than $1,001)",,"$1,000,000 ",
148.56,Berkshire Hathaway B,N/A,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
148.56,Piedmont Office Realty Trust A,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
5,,,"than $1,001)",,,
148.56,"US Ecology, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.56,Chatham Lodging Trust,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.56,Retail Opportunity Investments Corp. -,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,Common Stock,,"than $1,001)",,,
148.56,E*TRADE Financial Corp,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.57,NextEra Energy Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.57,"Tesla Motors, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.57,QEP Resources,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.57,Whitestone REIT-B,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.57,United Continental Holdings Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.57,LyondellBasell Industries N.V.,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.57,General Motors Company,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.57,Allied World Assurance Co,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.57,Motorola Solutions Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.57,O'Reilly Automotive Inc,N/A,None (or less,Capital Gains,"$100,001 -",
9,,,"than $1,001)",,"$1,000,000 ",
148.58,"Financial Institutions, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.58,Kinder Morgan Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.58,Insperity Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.58,H C A Holdings Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
3,,,"than $1,001)",,,
148.58,"Cornerstone OnDemand, Inc. - Common",N/A,None (or less,Capital Gains,"$2,501 - $5,000",
4,Stock,,"than $1,001)",,,
148.58,Huntington Ingalls Ingalls Industries,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.58,Citigroup Inc,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.58,ProLogis Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.58,Marathon Petroleum Corp.,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.58,Hollyfrontier Corp,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
9,,,"than $1,001)",,,
148.59,Fortune Brands Home & Security Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.59,Alkermes plc - Ordinary Shares,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.59,CBRE Group Inc.,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.59,Level 3 Communications Inc,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.59,TripAdvisor Inc.,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.59,"Expedia, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.59,American Tower Corp,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.59,Jazz Pharmaceuticals plc - Ordinary Shares,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.59,Post Holdings Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.59,Select Income REIT,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.6,Aon plc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.6,Express Scripts Holding Co.,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.6,Phillips 66,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.6,Splunk Inc. - Common Stock,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
3,,,"than $1,001)",,,
148.6,"Facebook, Inc. - Class A Common Stock",N/A,None (or less,Capital Gains,"$100,001 -",
4,,,"than $1,001)",,"$1,000,000 ",
148.6,"Popular, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.6,Ingredion Inc,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.6,LPL Financial Holdings Inc. - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.6,Duke Energy Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.6,Palo Alto Networks Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.61,Mondelez International Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.61,Workday Inc-Cl A,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
1,,,"than $1,001)",,,
148.61,Whitewave Foods Co-A,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.61,AbbVie Inc.,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.61,Norwegian Cruise Line Holdings Ltd. -,N/A,None (or less,Capital Gains,"$15,001 -",
4,Ordinary Shares,,"than $1,001)",,"$50,000 ",
148.61,PTC Inc. - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.61,Zoetis Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.61,L Brands Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.61,T-Mobile US Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.61,Coty Inc-Cl A,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
9,,,"than $1,001)",,,
148.62,News Corp - Class A,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.62,"Twenty-First Century Fox, Inc",N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.62,Intercontinental Exchange Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.62,Aramark,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.62,EarthLink Holdings Corp. - Common Stock,N/A,None (or less,Capital Gains,"$201 - $1,000",
4,,,"than $1,001)",,,
148.62,"Popeyes Louisiana Kitchen, Inc. - Common",N/A,None (or less,Capital Gains,"$15,001 -",
5,Stock,,"than $1,001)",,"$50,000 ",
148.62,Navient Corporation - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.62,FNF Group,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.62,The GEO Group Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.62,Synchrony Financial,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
9,,,"than $1,001)",,,
148.63,Keysight Technologies Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.63,Education Realty Trust Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.63,Anthem Inc,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.63,Crown Castle Intl Corp,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.63,Healthcare Trust of AME - Cl A,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
4,,,"than $1,001)",,,
148.63,Walgreens Boots Alliance Inc,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.63,Q O R V O Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
6,,,"than $1,001)",,,
148.63,Iron Mountain Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.63,Medtronic Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
8,,,"than $1,001)",,,
148.63,"Equinix, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$1,001 - $2,500",
9,,,"than $1,001)",,,
148.64,Xenia Hotels & Resorts Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.64,Chimera Investment Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.64,Apple Hospitality REIT Inc,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
2,,,"than $1,001)",,,
148.64,Allergan plc,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.64,Monster Beverage Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.64,Energizer Holdings Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.64,Progressive Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.64,Public Services Enterprise Group,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.64,Public Storage,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.64,Pulte Group Inc,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.65,Wal-Mart Stores,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.65,QUALCOMM Incorporated - Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.65,Whole Foods Market Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.65,Waste Management Inc,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.65,Range Resources Corp,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
4,,,"than $1,001)",,,
148.65,"Regeneron Pharmaceuticals, Inc. - Common",N/A,None (or less,Capital Gains,"$15,001 -",
5,Stock,,"than $1,001)",,"$50,000 ",
148.65,Republic Services Inc,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.65,Rockwell Automation Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.65,"Ross Stores, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$50,001 -",
8,,,"than $1,001)",,"$100,000 ",
148.65,S&T Bancorp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.66,SEI Investments Company - Common Stock,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.66,Weingarten Realty Investment,N/A,None (or less,Capital Gains,"$201 - $1,000",
1,,,"than $1,001)",,,
148.66,S L Green Realty CORP,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.66,Wells Fargo & Co,N/A,None (or less,Capital Gains,"$100,001 -",
3,,,"than $1,001)",,"$1,000,000 ",
148.66,Western Digital Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.66,PNM Resources INC,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.66,Weyerhaeuser Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.66,"Henry Schein, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.66,Schlumberger Ltd,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.66,Whirlpool Corp,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.67,Schwab Charles Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.67,The Williams Companies Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.67,Xerox Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
2,,,"than $1,001)",,,
148.67,Sempra Energy,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.67,Yahoo Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.67,Simon Property Group,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.67,Zions Bancorporation - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.67,Southern Co,N/A,None (or less,Capital Gains,None (or less,
7,,,"than $1,001)",,than $201),
148.67,"Hawkins, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.67,Southwest Airlines Co,N/A,None (or less,Capital Gains,"$50,001 -",
9,,,"than $1,001)",,"$100,000 ",
148.68,Southwest Gas Holdings,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.68,Jones Lang Lasalle Inc,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.68,Starbucks Corporation - Common Stock,N/A,None (or less,Capital Gains,"$100,001 -",
2,,,"than $1,001)",,"$1,000,000 ",
148.68,The Priceline Group Inc. - Common Stock,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.68,State Street Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.68,First Potomac Realty Trust,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.68,SunTrust Banks Inc (GA),N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.68,Endurance Specialty Holdings,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.68,Kroger Co,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.68,Axis Capital Holdings LTD,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.69,Boston Scientific Corp,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.69,Resmed Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
1,,,"than $1,001)",,,
148.69,McKesson Corp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.69,DR Horton Inc,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.69,Archer-Daniels-Midland Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.69,Umpqua Holdings Corporation - Common,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,Stock,,"than $1,001)",,,
148.69,Corporate Office Properties REIT,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.69,Nvidia Corp,N/A,None (or less,Capital Gains,"$100,001 -",
7,,,"than $1,001)",,"$1,000,000 ",
148.69,Superior Energy Services,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.69,AES Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.7,Amgen Inc,N/A,None (or less,Capital Gains,"$50,001 -",
0,,,"than $1,001)",,"$100,000 ",
148.7,"Synopsys, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.7,Goodyear Tire & Rubber Co,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.7,Sysco Corp,N/A,None (or less,Capital Gains,"$15,001 -",
3,,,"than $1,001)",,"$50,000 ",
148.7,Sealed Air Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.7,TCF Financial,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.7,TJX Cos Inc,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.7,Teleflex Inc,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.7,Teradyne Inc,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.7,Terex Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.71,Tesoro Corp,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
0,,,"than $1,001)",,,
148.71,United Technologies Corp,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.71,Texas Instruments Incorporated - Common,N/A,None (or less,Capital Gains,"$50,001 -",
2,Stock,,"than $1,001)",,"$100,000 ",
148.71,Vornado Realty Trust,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.71,CVB Financial Corporation - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
4,,,"than $1,001)",,,
148.71,Textron Inc,N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.71,Corning Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.71,Thermo Fisher Scientific,N/A,None (or less,Capital Gains,"$15,001 -",
7,,,"than $1,001)",,"$50,000 ",
148.71,Automatic Data Processing,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.71,Tiffany & Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.72,Idacorp Inc,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.72,Tootsie Roll INDS Inc,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
1,,,"than $1,001)",,,
148.72,Tyson Foods Inc A,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.72,Union Pacific Corp,N/A,None (or less,Capital Gains,"$50,001 -",
3,,,"than $1,001)",,"$100,000 ",
148.72,First Horizon National Corp,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.72,United Natural Foods Inc,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
5,,,"than $1,001)",,,
148.72,South Jersey Industries Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
6,,,"than $1,001)",,,
148.72,United States Cellular Corp,N/A,None (or less,Capital Gains,"$201 - $1,000",
7,,,"than $1,001)",,,
148.72,VF Corp,N/A,None (or less,Capital Gains,"$15,001 -",
8,,,"than $1,001)",,"$50,000 ",
148.72,Renaissance RE Holdings LTD ADR,N/A,None (or less,Capital Gains,"$15,001 -",
9,,,"than $1,001)",,"$50,000 ",
148.73,Valero Energy Corp,N/A,None (or less,Capital Gains,"$15,001 -",
0,,,"than $1,001)",,"$50,000 ",
148.73,Ventas Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
1,,,"than $1,001)",,,
148.73,GATX Corp,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
2,,,"than $1,001)",,,
148.73,"VeriSign, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.73,Vertex Pharmaceuticals Inc,N/A,None (or less,Capital Gains,"$15,001 -",
4,,,"than $1,001)",,"$50,000 ",
148.73,"Washington Federal, Inc. - Common Stock",N/A,None (or less,Capital Gains,"$15,001 -",
5,,,"than $1,001)",,"$50,000 ",
148.73,Intuit Inc,N/A,None (or less,Capital Gains,"$50,001 -",
6,,,"than $1,001)",,"$100,000 ",
148.73,Vulcan Materials Co,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
7,,,"than $1,001)",,,
148.73,"Bottomline Technologies, Inc. - Common",N/A,None (or less,Capital Gains,"$15,001 -",
8,Stock,,"than $1,001)",,"$50,000 ",
148.73,"Safeway PDC, LLC CVR (Worthless)",N/A,None (or less,,None (or less,
9,,,"than $1,001)",,than $201),
148.74,Newell Brands Inc,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
148.74,KLA-Tencor Corporation,N/A,None (or less,Capital Gains,"$15,001 -",
1,,,"than $1,001)",,"$50,000 ",
148.74,NCR Corp,N/A,None (or less,Capital Gains,"$15,001 -",
2,,,"than $1,001)",,"$50,000 ",
148.74,WD-40 Company - Common Stock,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
3,,,"than $1,001)",,,
148.74,Biogen Idec Inc,N/A,None (or less,Capital Gains,"$50,001 -",
4,,,"than $1,001)",,"$100,000 ",
148.74,Varian Medical Systems Inc,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
5,,,"than $1,001)",,,
148.74,L3 TECHNOLOGIES INC,N/A,None (or less,Capital Gains,"$15,001 -",
6,,,"than $1,001)",,"$50,000 ",
148.74,CONDUENT INC-WHEN ISSUED,N/A,None (or less,Capital Gains,"$1,001 - $2,500",
7,,,"than $1,001)",,,
148.74,BIOVERATIV INC-W/I,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
8,,,"than $1,001)",,,
148.74,G G P INC,N/A,None (or less,Capital Gains,"$5,001 - $15,000",
9,,,"than $1,001)",,,
148.75,VAREX IMAGING CORP,N/A,None (or less,Capital Gains,"$2,501 - $5,000",
0,,,"than $1,001)",,,
149,"Martingale Asset Management, L.P.",No,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
149.1,T C F FINANCIAL CORP,N/A,None (or less,,None (or less,
,,,"than $1,001)",,than $201),
149.2,MAXIM INTEGRATED PRODS INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.3,DARDEN RESTAURANTS INC,No,None (or less,Capital Gains,"$50,001 -",
,,,"than $1,001)",,"$100,000 ",
149.4,LOWE'S COMPANIES INC,No,None (or less,Capital Gains,"$15,001 -",
,,,"than $1,001)",,"$50,000 ",
149.5,ROSS STORES INC,N/A,None (or less,Dividends,"$15,001 -",
